DATE,AVG_TAT
2022-01-01 1:00,8.57
2022-01-01 2:00,8.775
2022-01-01 3:00,8.715
2022-01-01 4:00,8.215
2022-01-01 5:00,7.465
2022-01-01 6:00,7.18
2022-01-01 7:00,9.025
2022-01-01 8:00,9.26
2022-01-01 9:00,8.915
2022-01-01 10:00,10.3
2022-01-01 11:00,10.625
2022-01-01 12:00,11.83
2022-01-01 13:00,11.475
2022-01-01 14:00,10.305
2022-01-01 15:00,10.595
2022-01-01 16:00,10.115
2022-01-01 17:00,10.4
2022-01-01 18:00,10.08
2022-01-01 19:00,9.46
2022-01-01 20:00,8.975
2022-01-01 21:00,10.48
2022-01-01 22:00,10.99
2022-01-01 23:00,9.18
2022-01-02 0:00,8.67
2022-01-02 1:00,7.62
2022-01-02 2:00,7.32
2022-01-02 4:00,7.885
2022-01-02 5:00,7.6
2022-01-02 6:00,8.89
2022-01-02 7:00,9.06
2022-01-02 8:00,7.035
2022-01-02 9:00,7.275
2022-01-02 10:00,8.985
2022-01-02 11:00,10.62
2022-01-02 12:00,10.615
2022-01-02 13:00,9.415
2022-01-02 14:00,8.405
2022-01-02 15:00,9.1
2022-01-02 16:00,9.4
2022-01-02 17:00,9.325
2022-01-02 18:00,10.3
2022-01-02 20:00,9.4
2022-01-02 21:00,8.805
2022-01-02 23:00,8.015
2022-01-03 0:00,7.405
2022-01-03 1:00,8.145
2022-01-03 3:00,11.245
2022-01-03 4:00,10.45
2022-01-03 5:00,7.52
2022-01-03 6:00,9.65
2022-01-03 7:00,10.455
2022-01-03 8:00,8.37
2022-01-03 9:00,12.415
2022-01-03 10:00,19.29
2022-01-03 11:00,17.835
2022-01-03 12:00,14.665
2022-01-03 13:00,17.63
2022-01-03 14:00,17.265
2022-01-03 15:00,12.82
2022-01-03 16:00,14.965
2022-01-03 17:00,16.18
2022-01-03 18:00,13.24
2022-01-03 19:00,10.715
2022-01-03 20:00,9.675
2022-01-03 21:00,10.04
2022-01-03 22:00,11.575
2022-01-03 23:00,10.83
2022-01-04 0:00,8.765
2022-01-04 1:00,9.995
2022-01-04 2:00,10.225
2022-01-04 3:00,9.31
2022-01-04 4:00,10.695
2022-01-04 5:00,10.835
2022-01-04 6:00,9.355
2022-01-04 7:00,8.83
2022-01-04 8:00,8.155
2022-01-04 9:00,12.625
2022-01-04 10:00,15.965
2022-01-04 11:00,12.995
2022-01-04 12:00,13.455
2022-01-04 13:00,25.11
2022-01-04 14:00,25.34
2022-01-04 15:00,14.485
2022-01-04 16:00,14.175
2022-01-04 17:00,15.11
2022-01-04 18:00,13.28
2022-01-04 19:00,9.88
2022-01-04 20:00,11.035
2022-01-04 21:00,12.415
2022-01-04 22:00,10.34
2022-01-04 23:00,9.685
2022-01-05 0:00,8.87
2022-01-05 1:00,8.155
2022-01-05 2:00,8.805
2022-01-05 3:00,9.755
2022-01-05 4:00,14.48
2022-01-05 5:00,14.12
2022-01-05 6:00,9.86
2022-01-05 7:00,8.945
2022-01-05 8:00,7.945
2022-01-05 9:00,14.01
2022-01-05 10:00,15.855
2022-01-05 11:00,11.115
2022-01-05 12:00,12.375
2022-01-05 13:00,22.205
2022-01-05 14:00,21.365
2022-01-05 15:00,13.38
2022-01-05 16:00,14.375
2022-01-05 17:00,13.565
2022-01-05 18:00,12.34
2022-01-05 19:00,10.81
2022-01-05 20:00,9.485
2022-01-05 21:00,9.03
2022-01-05 22:00,8.8
2022-01-05 23:00,8.78
2022-01-06 0:00,8.48
2022-01-06 1:00,9.695
2022-01-06 2:00,11.36
2022-01-06 3:00,9.73
2022-01-06 4:00,7.92
2022-01-06 5:00,8.65
2022-01-06 6:00,8.87
2022-01-06 7:00,8.75
2022-01-06 8:00,8.92
2022-01-06 9:00,12.295
2022-01-06 10:00,15.455
2022-01-06 11:00,13.735
2022-01-06 12:00,13.16
2022-01-06 13:00,14.72
2022-01-06 14:00,15.6
2022-01-06 15:00,14.455
2022-01-06 16:00,15.1
2022-01-06 17:00,16.53
2022-01-06 18:00,15.465
2022-01-06 19:00,13.14
2022-01-06 20:00,10.485
2022-01-06 21:00,10
2022-01-06 22:00,10.135
2022-01-06 23:00,10.695
2022-01-07 0:00,10.315
2022-01-07 1:00,8.685
2022-01-07 2:00,8.52
2022-01-07 3:00,8.685
2022-01-07 4:00,8.38
2022-01-07 5:00,7.775
2022-01-07 6:00,7.55
2022-01-07 7:00,7.64
2022-01-07 8:00,7.885
2022-01-07 9:00,11.87
2022-01-07 10:00,14.63
2022-01-07 11:00,13.52
2022-01-07 12:00,12.26
2022-01-07 13:00,14.175
2022-01-07 14:00,15.92
2022-01-07 15:00,13.675
2022-01-07 16:00,13.53
2022-01-07 17:00,13.055
2022-01-07 18:00,11.045
2022-01-07 19:00,10.505
2022-01-07 20:00,10.445
2022-01-07 21:00,10.205
2022-01-07 22:00,9.91
2022-01-07 23:00,11.205
2022-01-08 0:00,10.845
2022-01-08 1:00,8.865
2022-01-08 2:00,9.335
2022-01-08 3:00,8.525
2022-01-08 4:00,8.67
2022-01-08 5:00,9.12
2022-01-08 6:00,8.94
2022-01-08 7:00,9.375
2022-01-08 8:00,9.67
2022-01-08 9:00,12.865
2022-01-08 10:00,14.22
2022-01-08 11:00,12.255
2022-01-08 12:00,11.32
2022-01-08 13:00,9.955
2022-01-08 14:00,8.81
2022-01-08 15:00,9.485
2022-01-08 16:00,10.995
2022-01-08 17:00,11.565
2022-01-08 18:00,10.29
2022-01-08 19:00,9.085
2022-01-08 20:00,8.74
2022-01-08 21:00,8.69
2022-01-08 22:00,9.335
2022-01-08 23:00,8.99
2022-01-09 0:00,7.96
2022-01-09 1:00,8.865
2022-01-09 2:00,8.865
2022-01-09 3:00,9.72
2022-01-09 4:00,9.89
2022-01-09 5:00,8.785
2022-01-09 6:00,8.48
2022-01-09 7:00,7.72
2022-01-09 8:00,8.545
2022-01-09 9:00,10.22
2022-01-09 10:00,11.56
2022-01-09 11:00,9.93
2022-01-09 12:00,7.94
2022-01-09 13:00,7.46
2022-01-09 14:00,7.445
2022-01-09 15:00,7.73
2022-01-09 16:00,8.09
2022-01-09 17:00,8.945
2022-01-09 18:00,9.18
2022-01-09 19:00,8.835
2022-01-09 20:00,8.205
2022-01-09 21:00,8.15
2022-01-09 22:00,8.275
2022-01-09 23:00,8.12
2022-01-10 0:00,8.135
2022-01-10 1:00,7.63
2022-01-10 2:00,7.48
2022-01-10 3:00,8.625
2022-01-10 4:00,9.115
2022-01-10 5:00,8.455
2022-01-10 6:00,13.035
2022-01-10 7:00,13.045
2022-01-10 8:00,7.975
2022-01-10 9:00,11.34
2022-01-10 10:00,13.935
2022-01-10 11:00,12.57
2022-01-10 12:00,11.555
2022-01-10 13:00,21.27
2022-01-10 14:00,22.105
2022-01-10 15:00,12.17
2022-01-10 16:00,11.76
2022-01-10 17:00,11.045
2022-01-10 18:00,9.33
2022-01-10 19:00,8.31
2022-01-10 20:00,9.005
2022-01-10 21:00,9.785
2022-01-10 22:00,9.345
2022-01-10 23:00,9.365
2022-01-11 0:00,9.64
2022-01-11 1:00,9.74
2022-01-11 2:00,9.995
2022-01-11 5:00,9.145
2022-01-11 6:00,8.21
2022-01-11 7:00,9.01
2022-01-11 8:00,8.95
2022-01-11 9:00,14.655
2022-01-11 10:00,18.65
2022-01-11 11:00,15.22
2022-01-11 12:00,13.605
2022-01-11 13:00,18.37
2022-01-11 14:00,18.575
2022-01-11 15:00,13.05
2022-01-11 16:00,11.745
2022-01-11 17:00,11.24
2022-01-11 18:00,10.895
2022-01-11 19:00,8.735
2022-01-11 20:00,7.67
2022-01-11 21:00,8.645
2022-01-11 22:00,9.44
