DATE,AVG_TAT
2022-01-01 1:00,23.95
2022-01-01 2:00,23.52
2022-01-01 3:00,22.105
2022-01-01 4:00,20.645
2022-01-01 5:00,18.765
2022-01-01 6:00,16.075
2022-01-01 7:00,16.14
2022-01-01 8:00,17.145
2022-01-01 9:00,25.165
2022-01-01 10:00,37.385
2022-01-01 11:00,35.36
2022-01-01 12:00,30.05
2022-01-01 13:00,24.315
2022-01-01 14:00,21.53
2022-01-01 15:00,24.41
2022-01-01 16:00,24.015
2022-01-01 17:00,25.025
2022-01-01 18:00,23.83
2022-01-01 19:00,22.34
2022-01-01 20:00,21.785
2022-01-01 21:00,20.835
2022-01-01 22:00,19.59
2022-01-01 23:00,20.635
2022-01-02 0:00,22.605
2022-01-02 1:00,18.17
2022-01-02 2:00,16.47
2022-01-02 3:00,17.985
2022-01-02 4:00,15.245
2022-01-02 5:00,13.405
2022-01-02 6:00,12.51
2022-01-02 7:00,14.53
2022-01-02 8:00,15.82
2022-01-02 9:00,14.44
2022-01-02 10:00,17.255
2022-01-02 11:00,19.595
2022-01-02 12:00,21.355
2022-01-02 13:00,22.855
2022-01-02 14:00,24.18
2022-01-02 15:00,25.79
2022-01-02 16:00,24.36
2022-01-02 17:00,21.115
2022-01-02 18:00,20.145
2022-01-02 19:00,21.47
2022-01-02 20:00,21.68
2022-01-02 21:00,24.12
2022-01-02 22:00,22.335
2022-01-02 23:00,18.59
2022-01-03 0:00,20.12
2022-01-03 1:00,20.305
2022-01-03 2:00,18.12
2022-01-03 3:00,16.615
2022-01-03 4:00,16.635
2022-01-03 5:00,19.095
2022-01-03 6:00,21.905
2022-01-03 7:00,17.57
2022-01-03 8:00,13.895
2022-01-03 9:00,15.465
2022-01-03 10:00,18.665
2022-01-03 11:00,23.4
2022-01-03 12:00,22.995
2022-01-03 13:00,22.005
2022-01-03 14:00,21.335
2022-01-03 15:00,23.425
2022-01-03 16:00,25.095
2022-01-03 17:00,24.48
2022-01-03 18:00,25.815
2022-01-03 19:00,25.575
2022-01-03 20:00,25.055
2022-01-03 21:00,29.575
2022-01-03 22:00,32.155
2022-01-03 23:00,22.8
2022-01-04 0:00,18.72
2022-01-04 1:00,22.12
2022-01-04 2:00,21.225
2022-01-04 3:00,21.115
2022-01-04 4:00,25.155
2022-01-04 5:00,24.03
2022-01-04 6:00,22.54
2022-01-04 7:00,21.815
2022-01-04 8:00,21.27
2022-01-04 9:00,19.21
2022-01-04 10:00,18.865
2022-01-04 11:00,21.625
2022-01-04 12:00,24.06
2022-01-04 13:00,25.2
2022-01-04 14:00,22.66
2022-01-04 15:00,21.785
2022-01-04 16:00,22.885
2022-01-04 17:00,23.015
2022-01-04 18:00,21.07
2022-01-04 19:00,21.69
2022-01-04 20:00,21.685
2022-01-04 21:00,20.43
2022-01-04 22:00,19.65
2022-01-04 23:00,26.12
2022-01-05 0:00,36.805
2022-01-05 1:00,32.66
2022-01-05 2:00,20.545
2022-01-05 3:00,17.115
2022-01-05 4:00,17.62
2022-01-05 5:00,18.355
2022-01-05 6:00,17.84
2022-01-05 7:00,16.415
2022-01-05 8:00,16.875
2022-01-05 9:00,19.94
2022-01-05 10:00,18.74
2022-01-05 11:00,18.84
2022-01-05 12:00,21.87
2022-01-05 13:00,20.515
2022-01-05 14:00,20.31
2022-01-05 15:00,21.21
2022-01-05 16:00,20.445
2022-01-05 17:00,20.185
2022-01-05 18:00,20.465
2022-01-05 19:00,17.875
2022-01-05 20:00,18.46
2022-01-05 21:00,19.53
2022-01-05 22:00,18.965
2022-01-05 23:00,19.625
2022-01-06 0:00,19.505
2022-01-06 1:00,21.36
2022-01-06 2:00,21.155
2022-01-06 3:00,19.94
2022-01-06 4:00,23.805
2022-01-06 5:00,21.685
2022-01-06 6:00,17.67
2022-01-06 7:00,18.54
2022-01-06 8:00,17.815
2022-01-06 9:00,18.2
2022-01-06 10:00,19.56
2022-01-06 11:00,21.395
2022-01-06 12:00,24.18
2022-01-06 13:00,24.89
2022-01-06 14:00,25.745
2022-01-06 15:00,25.165
2022-01-06 16:00,25.02
2022-01-06 17:00,26.37
2022-01-06 18:00,24.19
2022-01-06 19:00,19.68
2022-01-06 20:00,16.755
2022-01-06 21:00,19.18
2022-01-06 22:00,18.91
2022-01-06 23:00,18.53
2022-01-07 0:00,20.64
2022-01-07 1:00,19.415
2022-01-07 2:00,24.785
2022-01-07 3:00,29.88
2022-01-07 4:00,24.845
2022-01-07 5:00,21.505
2022-01-07 6:00,18.75
2022-01-07 7:00,15.22
2022-01-07 8:00,16.345
2022-01-07 9:00,18.475
2022-01-07 10:00,21.075
2022-01-07 11:00,21.25
2022-01-07 12:00,19.585
2022-01-07 13:00,19.17
2022-01-07 14:00,19.98
2022-01-07 15:00,20.485
2022-01-07 16:00,21.15
2022-01-07 17:00,20.69
2022-01-07 18:00,18.61
2022-01-07 19:00,18.27
2022-01-07 20:00,22.195
2022-01-07 21:00,30.87
2022-01-07 22:00,33.715
2022-01-07 23:00,30.965
2022-01-08 0:00,28.44
2022-01-08 1:00,25.105
2022-01-08 2:00,19.9
2022-01-08 3:00,15.4
2022-01-08 4:00,16.25
2022-01-08 5:00,18.39
2022-01-08 6:00,17.82
2022-01-08 7:00,16.3
2022-01-08 8:00,15.11
2022-01-08 9:00,15.61
2022-01-08 10:00,17.495
2022-01-08 11:00,19.67
2022-01-08 12:00,20.5
2022-01-08 13:00,18.52
2022-01-08 14:00,16.83
2022-01-08 15:00,18.01
2022-01-08 16:00,20.235
2022-01-08 17:00,21.365
2022-01-08 18:00,20.655
2022-01-08 19:00,20.905
2022-01-08 20:00,21.395
2022-01-08 21:00,22.185
2022-01-08 22:00,23.84
2022-01-08 23:00,27.15
2022-01-09 0:00,25.895
2022-01-09 1:00,25.32
2022-01-09 2:00,26.25
2022-01-09 3:00,24.635
2022-01-09 4:00,21.86
2022-01-09 5:00,21.985
2022-01-09 6:00,23.06
2022-01-09 7:00,20.7
2022-01-09 8:00,18.045
2022-01-09 9:00,18.54
2022-01-09 10:00,20.955
2022-01-09 11:00,21.52
2022-01-09 12:00,21.17
2022-01-09 13:00,21.88
2022-01-09 14:00,31.215
2022-01-09 15:00,38.67
2022-01-09 16:00,32.11
2022-01-09 17:00,23.1
2022-01-09 18:00,20.265
2022-01-09 19:00,22.62
2022-01-09 20:00,25.42
2022-01-09 21:00,26.27
2022-01-09 22:00,33.05
2022-01-09 23:00,30.605
2022-01-10 0:00,30.79
2022-01-10 1:00,26.14
2022-01-10 2:00,11.955
2022-01-10 3:00,13.03
2022-01-10 4:00,15.815
2022-01-10 5:00,14.75
2022-01-10 6:00,15.38
2022-01-10 7:00,17.13
2022-01-10 8:00,16.25
2022-01-10 9:00,16.345
2022-01-10 10:00,19.29
2022-01-10 11:00,22.155
2022-01-10 12:00,23.405
2022-01-10 13:00,26.205
2022-01-10 14:00,25.575
2022-01-10 15:00,21.64
2022-01-10 16:00,18.395
2022-01-10 17:00,18.065
2022-01-10 18:00,22
2022-01-10 19:00,22.715
2022-01-10 20:00,22.175
2022-01-10 21:00,19.435
2022-01-10 22:00,18.87
2022-01-10 23:00,18.98
2022-01-11 0:00,19.45
